Restaurant,Burrito_Name,Type,Full_Address,URL,Number_of_Reviews,Average_of_Yelp,Average_of_Google,Average_of_Cost,Average_of_Hunger,Average_of_Tortilla,Average_of_Temp,Average_of_Meat,Average_of_Fillings,Average_of_Meat_filling,Average_of_Uniformity,Average_of_Salsa,Average_of_Synergy,Average_of_Wrap,Average_of_overall
California Burritos,Carne asada everything,Carne Asada / Beef,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4,4.5,4.4,7.145,3.875,3.5,3,3.5,3.5,3.75,3.5,3.375,3.25,3.375,3.6625
California Burritos,Carnitas,Carnitas / Pork,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,1,4.5,4.4,6.49,4.5,3,5,4,4,5,4,2.5,4.5,4,4
California Burritos,Chile relleno and carnitas,Carnitas / Pork,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,1,4.5,4.4,8.75,3.5,1.5,2,3,3.5,4,1,3.5,4.5,4,4
California Burritos,Surf & Turf,Seafood,"7754 Starling Dr, Linda Vista CA",https://www.yelp.com/biz/california-burritos-san-diego,4,4.5,4.4,7.485,3.5,3.4375,3.75,3.5,3.25,4,4.5,3.375,3.5,4.375,3.5125
Cancun Mexican & Seafood,Adobada,Carnitas / Pork,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,1,4.5,4.1,7.3,3,3,4.5,3.5,3,3,2,3.5,2.5,4.5,3.5
Cancun Mexican & Seafood,California,California,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,2,4.5,4.1,7.77,3.5,3,4.75,3.5,4.5,2.5,3.5,3.75,3.5,4,4.025
Cancun Mexican & Seafood,California ,California,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,2,4.5,4.1,8.29,3.5,4.25,4.25,3,3.75,2.75,3.5,3.25,2.75,4,3.5
Cancun Mexican & Seafood,Machaca,Carne Asada / Beef,"1766 N Coast Hwy, Encinitas CA",http://cancunmexicanandseafood.com/,1,4.5,4.1,7.65,3,2,4,3,3,4,2,4,2,3,3.5
Carmen's Mexican Food,Adobada,Carnitas / Pork,"4937 Diane Ave, Clairemont CA",https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,1,4,4.2,9.99,3,4,4.5,3.5,4,3,2,2.5,3.5,4,4
Carmen's Mexican Food,Carne asada,Carne Asada / Beef,"4937 Diane Ave, Clairemont CA",https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,1,4,4.2,8.25,3.5,4,4.5,3.5,2.5,4.5,4.5,4,3.5,5,4
Chili Peppers,Surf & Turf,Seafood,"10425 Tierrasanta Blvd, San Diego CA",(blank),1,,,7.95,2.5,2.5,2.5,4,3.5,3,2.5,3,3,5,3.3
Chipotle,Carnitas,Carnitas / Pork,"2505 Palomar airport Rd, Carlsbad CA",https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,1,3,4.2,8.75,3,4,5,3,5,3,2,4,3,5,4
Chipotle,Custom,Specialty,"2505 Palomar airport Rd, Carlsbad CA",https://www.yelp.com/biz/chipotle-mexican-grill-carlsbad,1,3,4.2,7.95,2,4,5,4,4,3,5,3,3,5,4
Colima's Mexican Food,Bandido,Specialty,"2302 University Ave, North park CA",https://www.yelp.com/biz/colimas-mexican-food-san-diego,2,4,4.2,7.025,3.25,3,5,3.5,2.75,3.75,2.5,3.375,3.5,4,3.3
Colima's Mexican Food,Colimas burrito,Specialty,"2302 University Ave, North park CA",https://www.yelp.com/biz/colimas-mexican-food-san-diego,1,4,4.2,6.6,3,3,4.5,4,4.5,4,4.5,4.5,5,4.5,4.5
Colima's Mexican Food,Hawaiian,Specialty,"2302 University Ave, North park CA",https://www.yelp.com/biz/colimas-mexican-food-san-diego,1,4,4.2,6.6,3,4,5,5,5,5,4,,4.5,5,4.5
Cortez Mexican Food,California ,California,"5517 Mission Rd, Bonsall CA",https://www.yelp.com/biz/cortez-mexican-food-bonsall,1,4.2,4,6.6,3.5,3.5,3,4,4.5,3,1,3,4,0.5,2.8
Cotixan,California,California,"4370 Genessee Ave, Clairemont CA",https://www.yelp.com/biz/cotixan-mexican-and-seafood-san-diego,2,4,4,7.245,3.25,3,2.25,3.75,4,3,1.25,3.75,3.75,4.75,3.7
Don Carlos Taco Shop,California,California,"737 Pearl St, La Jolla CA",https://www.yelp.com/biz/don-carlos-taco-shop-la-jolla,2,4,4.5,7.07,3,3.75,3.5,3.5,3.5,4,3.25,3.5,3.75,5,3.8
Donato's Taco Shop,Al pastor ,Carnitas / Pork,"6780 Miramar Rd, Miramar CA",http://donatostacoshop.net/,1,3.5,4.2,6.25,4,4,4.5,4.5,5,5,5,4.5,5,5,4.6
Donato's Taco Shop,California ,California,"6780 Miramar Rd, Miramar CA",http://donatostacoshop.net/,1,3.5,4.2,6.25,3.5,4,4,4,2.5,3,3.5,4,4,5,4
Donato's Taco Shop,Carne asada,Carne Asada / Beef,"6780 Miramar Rd, Miramar CA",http://donatostacoshop.net/,1,3.5,4.2,6.5,5,4.5,5,5,5,5,4,4,5,5,4.7
El Cuervo,California ,California,"110 Washington St, Hillcrest CA",https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,1,4,4.3,6.25,2,5,5,5,4,4,2,,5,5,5
El Cuervo,Pollo adobado,Chicken,"110 Washington St, Hillcrest CA",https://www.yelp.com/biz/el-cuervo-taco-shop-san-diego,1,4,4.3,6.5,2.5,3,,3.5,4,4,3,,4,1.5,3.5
El Dorado Mexican Food,California,California,"29000 Old Town Front St, Temecula CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,3,4.5,4,7.05,2.833333333,2.5,3.75,3.166666667,2.666666667,2.833333333,2.833333333,3.166666667,3,3.75,2.833333333
El Dorado Mexican Food,Super,Specialty,"29000 Old Town Front St, Temecula CA",https://www.yelp.com/biz/el-dorado-mexican-food-temecula,1,4.5,4,5.95,3.5,2.5,2.5,3.5,4,3,4.5,4,4.5,4.5,3.8
El Indio,California,California,"3695 India St, San Diego CA",http://elindiosandiego.com/,1,3.5,3.9,9,2,2.5,2.5,1.5,2.5,1,2,2.5,2,5,1.8
El Nopalito ,Especial ,Specialty,"582 Santa Fe Dr, Encinitas CA",https://www.yelp.com/biz/el-nopalito-encinitas,1,4,4,8,4,4.5,5,5,5,4.5,5,3,5,5,4.9
El Nopalito ,Ranchero steak,Carne Asada / Beef,"582 Santa Fe Dr, Encinitas CA",https://www.yelp.com/biz/el-nopalito-encinitas,1,4,4,6.89,3,3,2.5,3,2.5,2.5,2,3.5,3,4,3
El Pollo Loco,Chicken avocado,Chicken,"3500 College Blvd, Oceanside CA",https://www.yelp.com/biz/el-pollo-loco-oceanside-5,1,3.5,4.1,6.39,3,4,3,2.5,3.5,3,3,3.5,4,3.5,3.5
El Portal Fresh Mexican Grill,Carnitas,Carnitas / Pork,"4101 Genesee Ave, Clairemont CA",https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,1,4,4.4,5.99,2,4,2,2.5,4,4,3,3.5,4,5,3.2
El Portal Fresh Mexican Grill,Mahi,Seafood,"4101 Genesee Ave, Clairemont CA",https://www.yelp.com/biz/el-portal-fresh-mexican-grill-san-diego,1,4,4.4,6.75,3,4.5,4,3,4,1,3,4.5,3.5,4.5,3.5
El Pueblo Mexican Food,California,California,"820 Birmingham Dr, Cardiff  CA",https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea,1,4,4.7,7.49,3.5,3.5,4,4,4,3.5,3,4,4.5,3,4.2
El Rey Moro,California Surf,California,"4471 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,1,4,3.8,7.49,4,4,3.5,4,4,4.5,5,4.5,5,4.5,4.5
El Rey Moro,Hashbrown,Breakfast,"4471 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,2,4,3.8,7.49,3.5,3.5,2.5,4.5,4.25,2.25,3.5,4.25,4,2.75,3.85
El Torrito Foods,Adobada,Carnitas / Pork,"249 Emerald Dr, Vista CA",https://www.yelp.com/biz/el-torito-foods-vista-2,1,4,4.4,7.89,4,4,2,4,3,4,4,4,3.5,4,3.5
El Torrito Foods,Asada,Carne Asada / Beef,"249 Emerald Dr, Vista CA",https://www.yelp.com/biz/el-torito-foods-vista-2,1,4,4.4,7.49,1,4,3,4,4.5,5,4.5,3,4.5,4,4
El Zarape,Azteca,Specialty,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,1,4,4.4,7,3.5,3,5,3,3.5,3,1.5,3,3,4,3.3
El Zarape,California,California,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,4,4,4.4,7.2,4.375,3.75,3.75,3.625,3.5,3.875,4,3.5,3.75,3.875,3.625
El Zarape,California chicken,California,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,1,4,4.4,6.95,4,3,3.5,2,3.5,3,2.5,2.5,2.5,2,2.9
El Zarape,Carne asada supreme,Carne Asada / Beef,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,1,4,4.4,7.5,4,4,5,4,5,5,4,5,4,4,4
El Zarape,Lobster,Seafood,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,1,4,4.4,8.75,3,3,4,2.7,4.7,3,2.4,2,3.7,4.5,3.7
El Zarape,Surf and Turf,Seafood,"4642 Park Blvd, University Heights CA",https://www.yelp.com/biz/el-zarape-san-diego,1,4,4.4,8.75,4,4.5,3.8,3.8,4.5,3.4,1.5,3,3.8,4,3.8
Famoso Mexican Street Food,Cali Diablo,Specialty,"815 C St, Downtown CA",https://www.yelp.com/biz/famoso-mexican-street-food-san-diego-20,1,4.5,3.9,6.25,3.5,4,3.5,4,4,5,5,,5,4.5,4.2
Filiberto's,Adobada,Carnitas / Pork,"476 S Coast Hwy 101, Encinitas CA",https://www.yelp.com/biz/filibertos-encinitas-2,1,3,3.8,6.6,5,5,4,,5,5,4,,5,3,4.5
Filiberto's,California,California,"476 S Coast Hwy 101, Encinitas CA",https://www.yelp.com/biz/filibertos-encinitas-2,1,3,3.8,6,2,5,4.5,5,5,5,5,,5,4,5
Gloria's Taco Shop,Cabeza,Specialty,"1233 28th St, South Park CA",https://www.yelp.com/biz/glorias-taco-shop-san-diego,1,4,4.3,6.99,2.5,3.5,4,3.5,3.5,3,1,4,4,4.5,3.8
Gloria's Taco Shop,California ,California,"1233 28th St, South Park CA",https://www.yelp.com/biz/glorias-taco-shop-san-diego,1,4,4.3,7.99,3,4,4,4,3.5,2.5,3.5,4,3.5,2.5,3.7
Goody's,Carne asada,Carne Asada / Beef,"Marshall College, La Jolla CA",https://www.yelp.com/biz/goodys-place-and-market-la-jolla,1,3.5,4.1,6.5,5,3,,4,5,4,4,,5,5,5
Goody's,Custom,Specialty,"Marshall College, La Jolla CA",https://www.yelp.com/biz/goodys-place-and-market-la-jolla,3,3.5,4.1,6.116666667,3.166666667,3.333333333,3.166666667,2.833333333,3,3.5,3,3,3,3.666666667,3.066666667
Graciela's Taco Shop,Adobada ,Carnitas / Pork,"5047 Central Ave, Bonita CA",https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,1,4,4.5,11.75,4,3,,4,5,4,4,5,4,3,4
Graciela's Taco Shop,Barbacoa,Carne Asada / Beef,"5047 Central Ave, Bonita CA",https://www.yelp.com/biz/gracielas-taco-shop-bonita-2,1,4,4.5,6.5,4,3,,4,4,5,4,4,5,4,5
Humbertos,Pollo california,Chicken,"1015 25th St, San Diego CA",(blank),1,,,6.5,5,4,,4,4,5,4,4,4,5,4
Jorge's Mexicatessen,California ,California,"267 N El Camino Real, Encinitas  CA",https://www.yelp.com/biz/jorges-mexicatessen-encinitas,1,4,4.5,8,4,3,,2,3,2,3,2,3,2,2
Jorge's Mexicatessen,Chimichanga beef,Carne Asada / Beef,"267 N El Camino Real, Encinitas  CA",https://www.yelp.com/biz/jorges-mexicatessen-encinitas,1,4,4.5,8,3,3,,1,2,2,2,2,2,1,2
Jose's Taco,California,California,"3910 Vista Way, Oceanside CA",https://www.yelp.com/biz/joses-taco-oceanside,1,4,3.8,7,3.5,3,,5,3,3,4,4,4,4,4
Juanita's Taco Shop,Arizona,Specialty,"290 N Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/juanitas-taco-shop-encinitas,1,4,4.5,7.14,3.5,4,2,4,5,4,2,4,4.5,5,4.4
Juanita's Taco Shop,California ,California,"290 N Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/juanitas-taco-shop-encinitas,1,4,4.5,,4,5,,5,5,5,4,5,5,5,4.8
JV's Mexican Food,Carne asada,Carne Asada / Beef,"1112 Morena Blvd, Morena CA",http://jvsmexfood.com/,1,4,4.1,7.14,5,4,2,4.5,4,3.5,2,3,4,4,4.1
JV's Mexican Food,Surf & Turf,Seafood,"1112 Morena Blvd, Morena CA",http://jvsmexfood.com/,1,4,4.1,6.02,3.2,4.5,2,3.3,3.4,4.5,4.5,3.8,3.7,5,3.7
Karina's Taco Shop ,Bomb,Specialty,"916 N Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/karinas-taco-shop-encinitas,1,4,4.2,6.5,2,1.5,4,2,2,4.5,1,1,2,5,1.5
Karina's Taco Shop ,California ,California,"916 N Coast Hwy 101, Encinitas  CA",https://www.yelp.com/biz/karinas-taco-shop-encinitas,1,4,4.2,5.4,3,2,3.5,4,2.5,3.5,1.5,1.5,3,5,2.7
King Burrito,Adobada,Carnitas / Pork,"3490 Marron Rd, Oceanside CA",https://www.yelp.com/biz/king-burrito-oceanside-2,1,4,3.9,5.99,4,4.5,5,3,4,2,2,2,3.75,4,3.2
King Burrito,California,California,"3490 Marron Rd, Oceanside CA",https://www.yelp.com/biz/king-burrito-oceanside-2,1,4,3.9,5.5,3,3.5,4,3.5,3,3.5,3.5,2.5,3,2.5,3
Kotija Jr,California,California,"2668 Del Mar Heights Rd, Del Mar CA",https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar,1,4,4.2,6.25,4,1.5,2.5,3,4.5,4,2,2.75,3.75,3,2.6
Kotija Jr,Steak fajitas,Carne Asada / Beef,"2668 Del Mar Heights Rd, Del Mar CA",https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar,1,4,4.2,8.95,3.5,3,3,4,4,3.5,3.5,2.5,4,0.5,3
Kotija Jr.,Fish,Seafood,"2668 Del Mar Heights Rd, Del Mar CA",https://www.yelp.com/biz/kotija-jr-taco-shop-del-mar,1,4,4.2,3.5,1,3.5,4.5,,3,,4,3,2.5,4,2.7
La Morena Taco Shop and Seafood,California,California,"5059 Federal Blvd, Webster CA",https://www.yelp.com/biz/la-morena-taco-shop-san-diego,1,4.5,4.7,11.95,4,3.5,4,4,4.5,2.5,2.5,3,4,2,4.2
La Perla Cocina,Addiction,Specialty,"745 Emerald St, Pacific Beach CA",https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,1,4.5,4.7,11.95,3,3,4,4,4,3,2.5,4.5,4,1.5,4
La Perla Cocina,California,California,"745 Emerald St, Pacific Beach CA",https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,1,4.5,4.7,4.87,2,3,4,1.5,2,3,5,3,2.5,5,2.6
La Perla Cocina,Oaxacalifornia,California,"745 Emerald St, Pacific Beach CA",https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,1,4.5,4.7,7.5,4,3,5,3.5,3.5,4,4,2.5,3,5,3.5
Lola's 7 Up Market & Deli,Carne asada,Carne Asada / Beef,"3292 Roosevelt St, Carlsbad CA",https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,1,4.5,4.9,6.25,4.5,3.5,3,2,2,2.5,3,2,1.5,1,2
Lola's 7 Up Market & Deli,Shredded beef,Carne Asada / Beef,"3292 Roosevelt St, Carlsbad CA",https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,1,4.5,4.9,4.87,2.5,3.5,3,2.5,2.4,3.5,4.5,3,3,1.5,2.6
Lolita's taco shop,2 in 1,Specialty,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,3,4,4.4,7.625,3.6,4.6,4.666666667,5,4.9,5,5,5,4.9,4.833333333,4.9
Lolita's taco shop,Adobado,Carnitas / Pork,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,1,4,4.4,4.59,4,4,4,5,5,5,5,5,5,4,4.8
Lolita's taco shop,Bean and Cheese,Vegetarian,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,2,4,4.4,7.25,3.75,3,3,3,4,2.5,4,4,3.5,4.5,3.55
Lolita's taco shop,California,California,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,4,4,4.4,5.56,3.125,3.75,3.625,2.5,3.625,1.5,1.875,2.75,2.375,3,2.75
Lolita's taco shop,Carne asada,Carne Asada / Beef,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,1,4,4.4,6,5,4,5,5,5,5,4,5,5,5,5
Lolita's taco shop,Mixed,Specialty,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,1,4,4.4,6,3,4,3.5,4,4,2,4,4,4,3,3.8
Lolita's taco shop,Shrimp,Seafood,"7305 Clairemont Mesa Blvd, Kearny Mesa CA",http://lolitasmexicanfood.com/,1,4,4.4,9.43,,4,5,5,5,5,5,5,5,5,5
Los Cabos,Al pastor,Carnitas / Pork,"165 S Rancho Santa Fe Rd, San Marcos CA",https://www.yelp.com/biz/los-cabos-san-marcos,1,4,4.1,7.9,3.5,3.5,4.5,4.5,4,1.5,1.5,3,4,5,3.5
Los Cabos,California,California,"165 S Rancho Santa Fe Rd, San Marcos CA",https://www.yelp.com/biz/los-cabos-san-marcos,1,4,4.1,6.35,4.5,4,4,2.5,2,3,2,2,2,3,2
Los palmitos,California,California,"5145 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/los-palmitos-taco-shop-san-diego,1,4,4.1,8.5,3.5,4,4,4,3.5,4,4,4,4.5,4.5,4.2
Los palmitos,Surf & Turf,Seafood,"5145 Clairemont Mesa Blvd, Clairemont CA",https://www.yelp.com/biz/los-palmitos-taco-shop-san-diego,1,4,4.1,6.99,3.5,4,3.5,4,3.5,4,5,2.5,4,4.5,3.9
Los Panchos Taco Shop,Bitchin California,California,"409 Washington St, Hillcrest CA",https://www.yelp.com/biz/los-panchos-san-diego-2,1,3,3.4,5.7,3.5,3.5,3,3,4,1.5,4,4,4,4,3.7
Los Panchos Taco Shop,California,California,"409 Washington St, Hillcrest CA",https://www.yelp.com/biz/los-panchos-san-diego-2,1,3,3.4,6.99,5,4,4,4,4,2,3,3,4,3,3.5
Los Panchos Taco Shop,Tijuana,Specialty,"409 Washington St, Hillcrest CA",https://www.yelp.com/biz/los-panchos-san-diego-2,1,3,3.4,5.25,4,3.5,3,2.8,3.5,4,4,4,3.5,5,3.2
Los Primos Mexican Food,619 Burrito Original,Specialty,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,1,3,3.7,7.85,3,3,4.5,4.5,3.5,3.5,3.5,1,4,1,3.5
Los Primos Mexican Food,Adobada,Carnitas / Pork,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,1,3,3.7,6.25,3,3.8,1.3,3.5,3.5,4.5,4.5,3.5,4,5,3.9
Los Primos Mexican Food,Baja monster,Specialty,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,2,3,3.7,7,2.85,3.4,3.5,3.5,2.5,3,4.75,3,2.75,4.75,3.15
Los Primos Mexican Food,California,California,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,2,3,3.7,6.895,4,3.5,4.5,4,3.75,4.1,3.5,3.75,4.25,2.5,4.25
Los Primos Mexican Food,California breakfast,California,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,1,3,3.7,6.94,3.75,3.5,3.5,3.5,3.5,4,4,4.5,3.5,4.5,3.8
Los Primos Mexican Food,Carne asada,Carne Asada / Beef,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,1,3,3.7,6.25,4.5,4,4,4.5,4,4,3.5,4,4,4.5,4.25
Los Primos Mexican Food,Carnitas,Carnitas / Pork,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,1,3,3.7,7,3,3.5,2,3,4,2,4,3,3,4,3
Los Primos Mexican Food,Monster California,California,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,2,3,3.7,8.02,3.4,3.75,4.75,3.75,3.25,4.5,4.25,3,3.25,4,3.75
Los Primos Mexican Food,Surf & Turf,Seafood,"7770 Regents Rd, UTC CA",http://www.primosmex.com/,1,3,3.7,8.25,4,4,3,4,4,4,5,3,4,5,3.5
Los Tacos,California ,California,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,1,4,4.2,6.25,4,3,2.5,4,4,4,2,2,3,4,4
Los Tacos,Fusion,Specialty,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,2,4,4.2,6.25,4.25,4.25,3.75,4.25,4.25,4.25,4,4.5,4.5,4.5,4.25
Los Tacos,Local,Specialty,"2183 Vista Way, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside,11,4,4.2,6.25,3.891818182,3.954545455,3.363636364,4.045454545,4,3.931818182,3.909090909,3.5,4,4.090909091,4.094444444
Los Tacos 2,Al pastor tradicional ,Carnitas / Pork,"3480 Marron Rd, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside-2,1,4.5,5,7,2.5,4,4,2,3,2,3.5,3,3,4.5,2.5
Los Tacos 3,Cheese steak,Carne Asada / Beef,"3480 Marron Rd, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside-2,1,4.5,5,6.25,2,4,2.5,2.5,3,2,4,3.5,3,4.5,2.6
Los Tacos 4,Local,Specialty,"3480 Marron Rd, Oceanside CA",https://www.yelp.com/biz/los-tacos-oceanside-2,2,4.5,5,6.625,3.75,3.5,3.25,2.25,2.25,1.75,3.5,2.75,1.5,4.5,2.1
Lourdes,California,California,"2113 San Elijo Ave, Encinitas CA",https://www.yelp.com/biz/lourdes-encinitas-2,1,4,4.7,4.99,4,4.5,4.5,3.5,4,4.5,5,2.5,4.5,5,4.3
Lourdes,Carnitas,Carnitas / Pork,"2113 San Elijo Ave, Encinitas CA",https://www.yelp.com/biz/lourdes-encinitas-2,1,4,4.7,6.25,4,4,5,3,3,4,3.5,4,4,5,3.75
Lucha Libre North Park,Bean and Cheese,Vegetarian,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,1,3.5,4.3,8.25,3.9,2.1,1.9,2.6,2.4,2.9,3.2,4,2.5,3,2.4
Lucha Libre North Park,California - Chicken,California,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,2,3.5,4.3,8.25,1.5,3.25,2,4.5,3.25,4.5,3.75,3.75,3.25,4.25,3.5
Lucha Libre North Park,California - Pork Adobada,California,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,3,3.5,4.3,8.25,3.666666667,3.5,2.666666667,3.666666667,3.166666667,3.666666667,3,3.5,3.5,4.333333333,3.466666667
Lucha Libre North Park,California - Steak,California,"3016 University Ave, North Park CA",https://www.yelp.com/biz/lucha-libre-san-diego,2,3.5,4.3,8.25,3.75,3.3,2.85,2.6,3.15,3.55,3.5,4,3.4,3.95,2.9
